epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28719,1.54438,3.22075,1.60469,0.00856,1,0.24889,0.1479,1.46459,3.19471,1.64017,0,0,0
2,2.32308,1.34288,3.31712,1.42023,0.00815,0.92308,0.23845,0.15763,1.45076,3.1909,1.61463,1.6505e-05,1.6505e-05,1.6505e-05
3,3.1997,1.36409,3.26435,1.49723,0.00919,1,0.26586,0.17096,1.43296,3.18276,1.60331,3.26799e-05,3.26799e-05,3.26799e-05
4,4.02207,1.54671,3.19496,1.55507,0.00952,1,0.29067,0.17197,1.40272,3.15352,1.56658,4.85247e-05,4.85247e-05,4.85247e-05
5,6.27896,1.39976,3.10385,1.5278,0.00983,1,0.36413,0.18407,1.36257,3.13202,1.53753,6.40395e-05,6.40395e-05,6.40395e-05
6,7.10455,1.53406,3.36804,1.42983,0.01009,1,0.4106,0.19255,1.31806,3.12506,1.50013,7.92242e-05,7.92242e-05,7.92242e-05
7,8.35006,1.38361,3.18516,1.46389,0.01038,1,0.43882,0.20752,1.25454,3.12509,1.417,9.40788e-05,9.40788e-05,9.40788e-05
8,9.42888,1.1439,2.95303,1.26899,0.01062,1,0.43297,0.22736,1.2351,3.07257,1.367,0.000108603,0.000108603,0.000108603
9,10.6542,1.07225,2.92045,1.25878,0.01093,1,0.41296,0.25471,1.16077,3.07315,1.33275,0.000122798,0.000122798,0.000122798
10,12.1204,1.23668,3.16062,1.28832,0.01099,1,0.40374,0.25157,1.10275,3.07747,1.30337,0.000136662,0.000136662,0.000136662
11,13.5252,1.07879,2.95496,1.30744,0.01114,1,0.37838,0.24247,1.06858,3.04366,1.24845,0.000150197,0.000150197,0.000150197
12,14.4741,0.91903,2.7581,1.14335,0.01115,1,0.34569,0.20793,1.02096,3.04851,1.20708,0.000163401,0.000163401,0.000163401
13,15.3708,0.9481,2.80906,1.18396,0.01118,1,0.42267,0.21339,1.02066,3.05271,1.20834,0.000176275,0.000176275,0.000176275
14,16.1884,1.08328,2.84351,1.2561,0.01098,1,0.48631,0.21182,1.08181,3.03248,1.20413,0.000188819,0.000188819,0.000188819
15,16.9651,1.05626,2.616,1.20906,0.01073,1,0.44455,0.19265,1.15274,3.0262,1.21252,0.000201034,0.000201034,0.000201034
16,17.7456,1.26869,2.67984,1.25181,0.01036,1,0.4665,0.19459,1.29366,2.98702,1.25823,0.000212918,0.000212918,0.000212918
17,18.6231,1.01967,2.47652,1.17211,0.01011,1,0.45769,0.17179,1.31968,2.96817,1.26433,0.000224472,0.000224472,0.000224472
18,19.4575,0.93997,2.40527,1.1057,0.01011,1,0.45769,0.17179,1.31968,2.96817,1.26433,0.000235695,0.000235695,0.000235695
19,20.3803,0.86007,2.23983,1.13396,0.01012,1,0.35661,0.13729,1.39296,2.96961,1.31227,0.000246589,0.000246589,0.000246589
20,21.2237,0.89031,2.26281,1.10468,0.01012,1,0.35661,0.13729,1.39296,2.96961,1.31227,0.000257153,0.000257153,0.000257153
21,21.9939,1.20599,2.3447,1.24605,0.01017,1,0.28552,0.13745,1.34395,2.9997,1.28613,0.000267387,0.000267387,0.000267387
22,22.7569,0.92602,2.328,1.11427,0.01017,1,0.28552,0.13745,1.34395,2.9997,1.28613,0.00027729,0.00027729,0.00027729
23,23.5562,0.93252,2.17269,1.03868,0.01011,1,0.24333,0.12838,1.38889,2.98654,1.35645,0.000286864,0.000286864,0.000286864
24,24.3219,0.80499,2.11547,1.07251,0.01011,1,0.24333,0.12838,1.38889,2.98654,1.35645,0.000296108,0.000296108,0.000296108
25,25.1949,0.98469,2.12275,1.14866,0.0101,1,0.264,0.12028,1.47483,2.97973,1.4169,0.000305021,0.000305021,0.000305021
26,25.9379,1.04868,2.29079,1.1542,0.0101,1,0.264,0.12028,1.47483,2.97973,1.4169,0.000313604,0.000313604,0.000313604
27,26.7362,0.9656,1.99852,1.26004,0.00994,1,0.285,0.13432,1.52267,2.95032,1.42723,0.000321858,0.000321858,0.000321858
28,27.4941,1.07607,1.98094,1.10677,0.00994,1,0.285,0.13432,1.52267,2.95032,1.42723,0.000329781,0.000329781,0.000329781
29,28.2978,0.88003,1.86855,1.00552,0.00991,1,0.426,0.17791,1.52107,2.9326,1.42385,0.000337374,0.000337374,0.000337374
30,29.0177,1.00907,1.9268,1.17347,0.00991,1,0.426,0.17791,1.52107,2.9326,1.42385,0.000344637,0.000344637,0.000344637
31,29.7812,1.14306,1.90613,1.29886,0.01005,1,0.40783,0.1849,1.48622,2.82486,1.41713,0.00035157,0.00035157,0.00035157
32,30.5561,1.17554,1.95803,1.18727,0.01005,1,0.40783,0.1849,1.48622,2.82486,1.41713,0.000358173,0.000358173,0.000358173
33,31.4462,0.86866,1.80588,1.17092,0.01016,1,0.38308,0.19604,1.41118,2.81387,1.35537,0.000364446,0.000364446,0.000364446
34,32.2134,0.94652,1.72586,1.0722,0.01016,1,0.38308,0.19604,1.41118,2.81387,1.35537,0.000370389,0.000370389,0.000370389
35,33.0149,1.04262,1.59243,1.18808,0.01018,1,0.42338,0.24611,1.34448,2.81254,1.3531,0.000376002,0.000376002,0.000376002
36,33.7638,0.78806,1.68186,1.05228,0.01018,1,0.42338,0.24611,1.34448,2.81254,1.3531,0.000381285,0.000381285,0.000381285
37,34.5471,0.89799,1.52725,1.09225,0.01022,1,0.47834,0.29171,1.46457,2.84143,1.46693,0.000386237,0.000386237,0.000386237
38,35.3694,0.77259,1.2546,0.99237,0.01022,1,0.47834,0.29171,1.46457,2.84143,1.46693,0.00039086,0.00039086,0.00039086
39,36.1546,0.8421,1.27718,1.08689,0.45343,0.46154,0.48754,0.28493,1.49656,2.88666,1.50262,0.000395152,0.000395152,0.000395152
40,37.0104,1.00426,1.28217,1.10015,0.45343,0.46154,0.48754,0.28493,1.49656,2.88666,1.50262,0.000399115,0.000399115,0.000399115
41,37.9054,0.93267,1.33275,1.11369,1,0.22733,0.51381,0.31217,1.51914,2.88653,1.57413,0.000402747,0.000402747,0.000402747
42,38.8099,1.00034,1.41773,1.15306,1,0.22733,0.51381,0.31217,1.51914,2.88653,1.57413,0.00040605,0.00040605,0.00040605
43,39.7573,1.10973,1.36281,1.08542,1,0.23029,0.50946,0.29182,1.64203,2.91337,1.67454,0.000409022,0.000409022,0.000409022
44,40.5761,0.92178,1.23474,1.05628,1,0.23029,0.50946,0.29182,1.64203,2.91337,1.67454,0.000411664,0.000411664,0.000411664
45,41.348,0.80891,1.06479,0.93771,0.76425,0.23077,0.47018,0.26531,1.70465,2.93505,1.7605,0.000413976,0.000413976,0.000413976
46,42.0718,1.0313,1.20613,1.17001,0.76425,0.23077,0.47018,0.26531,1.70465,2.93505,1.7605,0.000415958,0.000415958,0.000415958
47,42.8139,0.93929,1.16014,1.13942,0.89927,0.23077,0.43278,0.26233,1.65801,2.87294,1.74835,0.00041761,0.00041761,0.00041761
48,43.5914,0.79512,1.06953,1.00911,0.89927,0.23077,0.43278,0.26233,1.65801,2.87294,1.74835,0.000418932,0.000418932,0.000418932
49,44.36,0.67295,1.07392,0.95733,0.85492,0.23077,0.36652,0.23258,1.86244,2.90559,1.92217,0.000419924,0.000419924,0.000419924
50,45.0773,0.94136,1.058,1.2193,0.85492,0.23077,0.36652,0.23258,1.86244,2.90559,1.92217,0.000420586,0.000420586,0.000420586
51,45.9195,0.93246,1.13331,1.11674,0.89214,0.23077,0.38508,0.24206,1.86654,2.89288,1.97807,0.000420918,0.000420918,0.000420918
52,46.6554,1.01855,1.21845,1.1922,0.89214,0.23077,0.38508,0.24206,1.86654,2.89288,1.97807,0.000420919,0.000420919,0.000420919
53,47.506,0.90226,0.93138,1.08417,0.89214,0.23077,0.38508,0.24206,1.86654,2.89288,1.97807,0.000420591,0.000420591,0.000420591
54,48.2986,0.77574,1.05826,1.10193,0.81312,0.23077,0.36902,0.24489,1.87348,2.89044,1.98957,0.000419932,0.000419932,0.000419932
55,49.0367,0.64553,0.97942,0.97596,0.81312,0.23077,0.36902,0.24489,1.87348,2.89044,1.98957,0.000418944,0.000418944,0.000418944
56,49.7908,0.92545,1.1892,1.15533,0.81312,0.23077,0.36902,0.24489,1.87348,2.89044,1.98957,0.000417625,0.000417625,0.000417625
57,50.5875,1.00831,1.01089,1.1857,0.95645,0.23077,0.36798,0.25252,1.80319,2.80203,1.92501,0.000415977,0.000415977,0.000415977
58,51.3447,0.85397,0.96198,1.10603,0.95645,0.23077,0.36798,0.25252,1.80319,2.80203,1.92501,0.000413998,0.000413998,0.000413998
